id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2016-01-01 00:00:00;4857.53100000
NE;NORDESTE;2016-01-01 00:00:00;9130.10590744
S;SUL;2016-01-01 00:00:00;8078.02400000
SE;SUDESTE;2016-01-01 00:00:00;32051.51490414
N;NORTE;2016-01-01 01:00:00;4724.36600000
NE;NORDESTE;2016-01-01 01:00:00;8825.85101021
S;SUL;2016-01-01 01:00:00;8129.22100000
SE;SUDESTE;2016-01-01 01:00:00;31903.27588496
N;NORTE;2016-01-01 02:00:00;4784.02200000
NE;NORDESTE;2016-01-01 02:00:00;8706.46559558
S;SUL;2016-01-01 02:00:00;7918.87399999
SE;SUDESTE;2016-01-01 02:00:00;31513.55899445
N;NORTE;2016-01-01 03:00:00;4866.02100000
NE;NORDESTE;2016-01-01 03:00:00;8775.44428869
S;SUL;2016-01-01 03:00:00;7618.74699999
SE;SUDESTE;2016-01-01 03:00:00;30915.19855716
N;NORTE;2016-01-01 04:00:00;4895.41400000
NE;NORDESTE;2016-01-01 04:00:00;8697.65868058
S;SUL;2016-01-01 04:00:00;7400.72600000
SE;SUDESTE;2016-01-01 04:00:00;30384.71839696
N;NORTE;2016-01-01 05:00:00;4827.92800000
NE;NORDESTE;2016-01-01 05:00:00;8598.85291223
S;SUL;2016-01-01 05:00:00;7229.72100000
SE;SUDESTE;2016-01-01 05:00:00;29891.43224281
N;NORTE;2016-01-01 06:00:00;4743.97000000
NE;NORDESTE;2016-01-01 06:00:00;7852.38683296
S;SUL;2016-01-01 06:00:00;6923.05999999
SE;SUDESTE;2016-01-01 06:00:00;28219.58496882
N;NORTE;2016-01-01 07:00:00;4483.93999999
NE;NORDESTE;2016-01-01 07:00:00;7486.80862984
S;SUL;2016-01-01 07:00:00;6618.17299999
SE;SUDESTE;2016-01-01 07:00:00;27315.91712701
N;NORTE;2016-01-01 08:00:00;4355.32600000
NE;NORDESTE;2016-01-01 08:00:00;7510.82342184
S;SUL;2016-01-01 08:00:00;6790.04399999
SE;SUDESTE;2016-01-01 08:00:00;27855.00821558
N;NORTE;2016-01-01 09:00:00;4345.28399999
NE;NORDESTE;2016-01-01 09:00:00;7693.29945623
S;SUL;2016-01-01 09:00:00;7087.12700000
SE;SUDESTE;2016-01-01 09:00:00;29029.22652348
N;NORTE;2016-01-01 10:00:00;4345.54800000
NE;NORDESTE;2016-01-01 10:00:00;7837.15650667
S;SUL;2016-01-01 10:00:00;7394.45899999
SE;SUDESTE;2016-01-01 10:00:00;30089.57690519
N;NORTE;2016-01-01 11:00:00;4326.61700000
