id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2018-01-01 00:00:00;4968.31800000
NE;NORDESTE;2018-01-01 00:00:00;9655.60299999
S;SUL;2018-01-01 00:00:00;8447.04600000
SE;SUDESTE;2018-01-01 00:00:00;30101.69200000
N;NORTE;2018-01-01 01:00:00;4854.35999999
NE;NORDESTE;2018-01-01 01:00:00;9377.94500000
S;SUL;2018-01-01 01:00:00;8585.48700000
SE;SUDESTE;2018-01-01 01:00:00;29904.94000000
N;NORTE;2018-01-01 02:00:00;4896.32500000
NE;NORDESTE;2018-01-01 02:00:00;9432.36000000
S;SUL;2018-01-01 02:00:00;8369.78500000
SE;SUDESTE;2018-01-01 02:00:00;29508.58999999
N;NORTE;2018-01-01 03:00:00;4978.13899999
NE;NORDESTE;2018-01-01 03:00:00;9477.71899999
S;SUL;2018-01-01 03:00:00;8047.14300000
SE;SUDESTE;2018-01-01 03:00:00;28757.94500000
N;NORTE;2018-01-01 04:00:00;4989.26900000
NE;NORDESTE;2018-01-01 04:00:00;9517.88100000
S;SUL;2018-01-01 04:00:00;7792.20000000
SE;SUDESTE;2018-01-01 04:00:00;28174.04199999
N;NORTE;2018-01-01 05:00:00;4984.66500000
NE;NORDESTE;2018-01-01 05:00:00;9451.30400000
S;SUL;2018-01-01 05:00:00;7724.34899999
SE;SUDESTE;2018-01-01 05:00:00;27775.35199999
N;NORTE;2018-01-01 06:00:00;4934.66300000
NE;NORDESTE;2018-01-01 06:00:00;8697.75200000
S;SUL;2018-01-01 06:00:00;7392.68600000
SE;SUDESTE;2018-01-01 06:00:00;26518.31900000
N;NORTE;2018-01-01 07:00:00;4635.97599999
NE;NORDESTE;2018-01-01 07:00:00;8304.48100000
S;SUL;2018-01-01 07:00:00;7074.43000000
SE;SUDESTE;2018-01-01 07:00:00;25681.27200000
N;NORTE;2018-01-01 08:00:00;4482.66000000
NE;NORDESTE;2018-01-01 08:00:00;8333.95900000
S;SUL;2018-01-01 08:00:00;7334.63500000
SE;SUDESTE;2018-01-01 08:00:00;26382.53399999
N;NORTE;2018-01-01 09:00:00;4467.98100000
NE;NORDESTE;2018-01-01 09:00:00;8491.12600000
S;SUL;2018-01-01 09:00:00;7674.27699999
SE;SUDESTE;2018-01-01 09:00:00;27638.16700000
N;NORTE;2018-01-01 10:00:00;4486.01500000
NE;NORDESTE;2018-01-01 10:00:00;8609.43900000
S;SUL;2018-01-01 10:00:00;8016.99900000
SE;SUDESTE;2018-01-01 10:00:00;28934.38400000
N;NORTE;2018-01-01 11:00:00;4480.05000000
NE;NORDESTE;2018-01-01 11:00:00;8680.54399999
S;SUL;2018-01-01 11:00:00;8180.96300000
SE;SUDESTE;2018-01-01 11:00:00;29905.71799999
N;NORTE;2018-01-01 12:00:00;4473.53300000
NE;NORDESTE;2018-01-01 12:00:00;8708.73499999
S;SUL;2018-01-01 12:00:00;8032.17499999
SE;SUDESTE;2018-01-01 12:00:00;30002.96599999
N;NORTE;2018-01-01 13:00:00;4464.62000000
NE;NORDESTE;2018-01-01 13:00:00;8702.62400000
S;SUL;2018-01-01 13:00:00;7944.18800000
SE;SUDESTE;2018-01-01 13:00:00;29409.04700000
N;NORTE;2018-01-01 14:00:00;4504.71100000
NE;NORDESTE;2018-01-01 14:00:00;8685.89200000
S;SUL;2018-01-01 14:00:00;8002.43900000
SE;SUDESTE;2018-01-01 14:00:00;28938.43100000
N;NORTE;2018-01-01 15:00:00;4569.34700000
NE;NORDESTE;2018-01-01 15:00:00;8696.10000000
S;SUL;2018-01-01 15:00:00;8057.96699999
SE;SUDESTE;2018-01-01 15:00:00;29095.88400000
N;NORTE;2018-01-01 16:00:00;4619.25300000
NE;NORDESTE;2018-01-01 16:00:00;8712.78000000
S;SUL;2018-01-01 16:00:00;8207.18700000
